Constants,Value,,,
Punch Diameter (in),0.25,,,
,,,,
Material,Yield Strength (psi),Shear Strength (psi),,
Aluminum 0.010” 3003 soft annealed,18000,10386,,
Aluminum 0.020” 3000 H14,16700,9635.9,,
Copper 110 0.010” soft annealed,10000,5770,,
ABS 0.010”,5000,2885,,
"ABS 0.020""",5000,2885,,
,,,,
Measurements,Impulse (Ns),Peak Force (N),Time (s),Calculated Force (N)
AL_10THOU,0.304,11.992,0.05,6.08
AL_10THOU,0.2268,11.7663,0.025,9.072
AL_10THOU,0.4081,16.9397,0.0375,10.88266667
AL_10THOU,0.53,17.1673,0.05,10.6
AL_10THOU,0.409,17.1048,0.025,16.36
AL_10THOU,11.6265,29.9064,0.9375,12.4016
AL_10THOU,12.5158,39.6912,1.7625,7.101163121
AL_10THOU,7.6612,36.3832,0.6875,11.14356364
AL_10THOU,18.0795,38.4346,0.9,20.08833333
AL_10THOU,15.478,35.6312,0.8875,17.44
AL_10THOU,1.9083,21.9331,0.3375,1.5708
AL_10THOU,2.434,26.6878,0.3125,2.1215
AL_10THOU,1.8035,21.6161,0.325,1.4785
AL_10THOU,1.9486,23.5435,0.325,1.6236
AL_10THOU,2.0521,26.1052,0.4375,1.6146
AL_10THOU,1.646,21.6725,0.3375,1.3085
AL_10THOU,1.5225,17.7936,0.375,1.1475
AL_10THOU,1.8157,23.1701,0.3875,1.4282
AL_10THOU,1.9016,24.4937,0.275,1.6266
AL_10THOU,1.441,24.6225,0.35,1.091
AL_20THOU,2.6555,77.9248,0.075,35.40666667
AL_20THOU,2.1932,58,0.05,43.864
AL_20THOU,1.8534,65.1887,0.0625,29.6544
AL_20THOU,1.3793,56.1323,0.0375,36.78133333
AL_20THOU,2.4765,69.0661,0.0625,39.624
AL_20THOU,85.7915,90.654,2.0125,42.62931677
AL_20THOU,73.5426,91.7583,1.45,50.71903448
AL_20THOU,59.7306,86.7084,1.7125,34.87918248
AL_20THOU,49.8663,92.3354,1.125,44.3256
AL_20THOU,72.2779,92.6224,1.5,48.18526667
AL_20THOU,4.9509,62.946,0.3125,4.6384
AL_20THOU,6.3749,74.9066,0.3875,5.9874
AL_20THOU,6.2315,67.7436,0.375,5.8565
AL_20THOU,2.9379,55.285,0.1,2.8379
AL_20THOU,4.6111,67.0855,0.25,4.3611
AL_20THOU,3.7586,60.4452,0.2125,3.5461
AL_20THOU,4.9351,72.3923,0.2,4.7351
AL_20THOU,4.5806,64.0055,0.3375,4.2431
AL_20THOU,4.9752,70.515,0.225,4.7502
AL_20THOU,4.0134,57.5612,0.225,3.7884
CU_10THOU,1.4047,41.3454,0.0625,22.4752
CU_10THOU,1.2984,45.8632,0.05,25.968
CU_10THOU,2.9702,44.443,0.0875,33.94514286
CU_10THOU,1.2462,41.6081,0.0625,19.9392
CU_10THOU,0.8413,28.6051,0.0375,22.43466667
CU_10THOU,20.6845,57.2275,0.9125,22.66794521
CU_10THOU,21.8108,77.6198,0.675,32.3122963
CU_10THOU,15.6549,64.2093,0.625,25.04784
CU_10THOU,13.2431,72.6734,0.6125,21.62138776
CU_10THOU,32.4671,80.8034,0.825,39.35406061
CU_10THOU,14.1346,63.0194,0.5875,13.5471
CU_10THOU,0.7785,36.1726,0.05,0.7285
CU_10THOU,5.1514,63.9505,0.3,4.8514
CU_10THOU,5.1759,65.2012,0.325,4.8509
CU_10THOU,1.9874,28.9151,0.275,1.7124
CU_10THOU,3.8677,44.2625,0.45,3.4177
CU_10THOU,6.0898,65.5224,0.375,5.7148
CU_10THOU,4.8339,57.5996,0.3,4.5339
CU_10THOU,4.892,62.9451,0.3625,4.5295
CU_10THOU,4.281,55.9927,0.2375,4.0435
ABS_10THOU,0.3885,12.9748,0.05,7.77
