Constants,Value,
Punch Diameter (in),0.25,
,,
Material,Yield Strength (psi),Shear Strength (psi)
Aluminum 0.010” 3003 soft annealed,18000,10386
Aluminum 0.020” 3000 H14,16700,9635.9
Copper 110 0.010” soft annealed,10000,5770
ABS 0.010”,5000,2885
"ABS 0.020""",5000,2885
,,
Measurements,Impulse (Ns),Peak Force (N)
ABS 1,2.227,28.1301
1,8.532,93.2225
2,1.0811,27.2818
4,1.8355,30.6326
5,9.021,62.3918
6,2.1004,33.3525
7,1.0214,24.1715
8,1.8088,31.9781
9,1.8612,36.3824
10,2.3569,31.0082
ABS 2,2.3789,23.4066
1,2.6897,22.262
2,1.9798,20.8685
3,2.1134,21.3753
4,1.9512,22.4938
5,1.6524,19.5147
6,1.7899,19.7979
7,1.6786,21.1273
8,1.2948,16.3131
9,1.3147,19.7494
AL 1,1.9083,21.9331
1,2.434,26.6878
2,1.8035,21.6161
3,1.9486,23.5435
4,2.0521,26.1052
5,1.646,21.6725
6,1.5225,17.7936
7,1.8157,23.1701
8,1.9016,24.4937
9,1.441,24.6225
AL 2,4.9509,62.946
1,6.3749,74.9066
2,6.2315,67.7436
3,2.9379,55.285
4,4.6111,67.0855
5,3.7586,60.4452
6,4.9351,72.3923
7,4.5806,64.0055
8,4.9752,70.515
9,4.0134,57.5612
CU 1,14.1346,63.0194
1,0.7785,36.1726
2,5.1514,63.9505
3,5.1759,65.2012
4,1.9874,28.9151
5,3.8677,44.2625
6,6.0898,65.5224
7,4.8339,57.5996
8,4.892,62.9451
9,4.281,55.9927
