Constants,Value,
Punch Diameter (in),0.25,
,,
Material,Yield Strength (psi),Shear Strength (psi)
Aluminum 0.010” 3003 soft annealed,18000,10386
Aluminum 0.020” 3000 H14,16700,9635.9
Copper 110 0.010” soft annealed,10000,5770
ABS 0.010”,5000,2885
"ABS 0.020""",5000,2885
,,
Measurements,Impulse (Ns),Peak Force (N)
ABS_10THOU_1,2.6688,23.562
,3.0969,30.9969
,3.8433,27.1719
,2.9307,15.0014
,2.8192,21.5189
ABS_20THOU_1,9.7393,38.5161
,10.107,36.6393
,7.6097,35.5161
,6.099,39.3117
,3.5893,42.1667
AL_10THOU_1,11.6265,29.9064
,12.5158,39.6912
,7.6612,36.3832
,18.0795,38.4346
,15.478,35.6312
AL_20THOU_1,85.7915,90.654
,73.5426,91.7583
,59.7306,86.7084
,49.8663,92.3354
,72.2779,92.6224
CU_10THOU_1,20.6845,57.2275
,21.8108,77.6198
,15.6549,64.2093
,13.2431,72.6734
,32.4671,80.8034
